
Contract: .migrations
Function Name | Function Signature
UserRefundFee        | 0xc17d2b18

Contract: GovTimelockController
Function Name | Function Signature
--------------------------------
CallExecuted         | 0xc2617efa
CallSalt             | 0x20fda5fd
CallScheduled        | 0x4cf4410c
Cancelled            | 0xbaa1eb22
MinDelayChange       | 0x11c24f4e
RoleAdminChanged     | 0xbd79b86f
RoleGranted          | 0x2f878811
RoleRevoked          | 0xf6391f5c
CANCELLER_ROLE       | 0xb08e51c0
DEFAULT_ADMIN_ROLE   | 0xa217fddf
EXECUTOR_ROLE        | 0x07bd0265
PROPOSER_ROLE        | 0x8f61f4f5
TIMELOCK_ADMIN_ROLE  | 0x0d3cf6fc
cancel               | 0xc4d252f5
execute              | 0x134008d3
executeBatch         | 0xe38335e5
getMinDelay          | 0xf27a0c92
getRoleAdmin         | 0x248a9ca3
getTimestamp         | 0xd45c4435
grantRole            | 0x2f2ff15d
hasRole              | 0x91d14854
hashOperation        | 0x8065657f
hashOperationBatch   | 0xb1c5f427
isOperation          | 0x31d50750
isOperationDone      | 0x2ab0f529
isOperationPending   | 0x584b153e
isOperationReady     | 0x13bc9f20
name                 | 0x06fdde03
onERC1155BatchReceived | 0xbc197c81
onERC1155Received    | 0xf23a6e61
onERC721Received     | 0x150b7a02
renounceRole         | 0x36568abe
revokeRole           | 0xd547741f
schedule             | 0x01d5062a
scheduleBatch        | 0x8f2a0bb0
supportsInterface    | 0x01ffc9a7
updateDelay          | 0x64d62353

Contract: GovToken
Function Name | Function Signature
--------------------------------
InvalidShortString   | 0xb3512b0c
StringTooLong        | 0x305a27a9
Unauthorized         | 0xa35b150b
Approval             | 0x8c5be1e5
DelegateChanged      | 0x3134e8a2
DelegateVotesChanged | 0xdec2bacd
EIP712DomainChanged  | 0x0a6387c9
Transfer             | 0xddf252ad
CLOCK_MODE           | 0x4bf5d7e9
DOMAIN_SEPARATOR     | 0x3644e515
allowance            | 0xdd62ed3e
approve              | 0x095ea7b3
balanceOf            | 0x70a08231
burn                 | 0x9dc29fac
checkpoints          | 0xf1127ed8
clock                | 0x91ddadf4
decimals             | 0x313ce567
decreaseAllowance    | 0xa457c2d7
delegate             | 0x5c19a95c
delegateBySig        | 0xc3cda520
delegates            | 0x587cde1e
eip712Domain         | 0x84b0196e
getPastTotalSupply   | 0x8e539e8c
